year,month,day,temperature
2011,01,01,41
2011,01,02,18
2011,01,03,2
2011,01,04,12
2011,01,05,4
2011,01,06,45
2011,01,07,45
2011,01,08,79
2011,01,09,29
2011,01,10,10
2011,01,11,32
2011,01,12,52
2011,01,13,94
2011,01,14,95
2011,01,15,86
2011,01,16,96
2011,01,17,78
2011,01,18,39
2011,01,19,36
2011,01,20,24
2011,01,21,9
2011,01,22,48
2011,01,23,57
2011,01,24,57
2011,01,25,45
2011,01,26,19
2011,01,27,1
2011,01,28,-17
2011,01,29,-19
2011,01,30,-2
2011,01,31,-3
2011,02,01,7
2011,02,02,44
2011,02,03,59
2011,02,04,94
2011,02,05,104
2011,02,06,100
2011,02,07,81
2011,02,08,41
2011,02,09,33
2011,02,10,70
2011,02,11,67
2011,02,12,51
2011,02,13,53
2011,02,14,60
2011,02,15,57
2011,02,16,62
2011,02,17,40
2011,02,18,11
2011,02,19,21
2011,02,20,3
2011,02,21,-17
2011,02,22,-17
2011,02,23,3
2011,02,24,51
2011,02,25,76
2011,02,26,75
2011,02,27,47
2011,02,28,28
2011,03,01,25
2011,03,02,19
2011,03,03,7
2011,03,04,0
2011,03,05,29
2011,03,06,34
2011,03,07,26
2011,03,08,31
2011,03,09,61
2011,03,10,77
2011,03,11,65
2011,03,12,85
2011,03,13,106
2011,03,14,103
2011,03,15,108
2011,03,16,71
2011,03,17,54
2011,03,18,63
2011,03,19,47
2011,03,20,48
2011,03,21,64
2011,03,22,79
2011,03,23,81
2011,03,24,94
2011,03,25,93
2011,03,26,53
2011,03,27,55
2011,03,28,49
2011,03,29,67
2011,03,30,93
2011,03,31,108
2011,04,01,118
2011,04,02,147
2011,04,03,107
2011,04,04,97
2011,04,05,98
2011,04,06,134
2011,04,07,108
2011,04,08,92
2011,04,09,100
2011,04,10,112
2011,04,11,122
2011,04,12,79
2011,04,13,84
2011,04,14,90
2011,04,15,101
2011,04,16,104
2011,04,17,118
2011,04,18,136
2011,04,19,161
2011,04,20,173
2011,04,21,175
2011,04,22,194
2011,04,23,187
2011,04,24,179
2011,04,25,168
2011,04,26,144
2011,04,27,119
2011,04,28,143
2011,04,29,167
2011,04,30,151
2011,05,01,132
2011,05,02,107
2011,05,03,86
2011,05,04,85
2011,05,05,111
2011,05,06,159
2011,05,07,206
2011,05,08,203
2011,05,09,156
2011,05,10,160
2011,05,11,142
2011,05,12,133
2011,05,13,135
