,clust,c_avg,c_std,c_max,d_avg,d_std
0,30,10.3,4.7759815745,24,24.6,7.15821206727
1,33,0.0,0.0,0,7.0,0.0
2,30,14.6,6.11882341631,29,38.0,6.34034699366
3,32,2.6,0.489897948557,3,5.0,1.09544511501
4,32,3.2,0.979795897113,4,6.6,0.489897948557
5,29,1.4,0.489897948557,2,3.8,0.4
6,31,4.0,0.0,4,15.0,0.0
7,29,0.0,0.0,0,1.0,0.0
8,33,0.0,0.0,0,1.0,0.0
9,31,0.0,0.0,0,3.0,0.0
10,34,2.9,0.7,4,9.8,0.979795897113
11,33,2.0,0.0,2,7.0,0.0
12,32,5.5,0.5,6,11.3,0.458257569496
13,30,0.0,0.0,0,4.0,0.0
14,36,6.4,1.42828568571,8,18.7,2.23830292856
15,36,3.5,1.28452325787,5,7.4,0.489897948557
16,29,3.4,1.95959179423,5,17.6,2.93938769134
17,31,3.8,0.6,4,8.4,0.489897948557
18,32,2.0,0.0,2,5.0,0.0
19,30,12.1,5.82151183113,22,34.9,14.5151644841
20,33,1.4,0.489897948557,2,5.0,0.0
21,31,3.4,0.916515138991,4,6.7,1.55241746963
22,29,1.5,0.5,2,12.0,0.0
23,36,0.0,0.0,0,1.0,0.0
24,33,3.7,0.9,5,8.4,1.28062484749
25,30,1.0,0.0,1,2.0,0.0
26,30,1.0,0.0,1,3.0,0.0
27,33,2.6,1.28062484749,6,14.3,2.68514431642
28,39,3.4,0.489897948557,4,11.0,0.0
29,32,1.0,0.0,1,2.0,0.0
30,33,4.0,1.67332005307,8,12.0,2.09761769634
31,30,2.6,0.663324958071,4,5.3,0.9
32,30,1.2,0.4,2,7.2,1.6
33,32,24.5,5.93717104352,39,69.2,12.2376468326
34,31,8.5,3.87943294825,14,32.7,9.25256721132
35,30,0.0,0.0,0,1.0,0.0
36,34,1.7,0.640312423743,3,8.3,0.781024967591
37,31,4.8,0.4,5,9.2,0.4
38,31,3.0,0.0,3,11.0,0.0
39,34,1.0,0.0,1,2.0,0.0
40,30,0.0,0.0,0,1.0,0.0
41,29,1.6,0.489897948557,2,8.0,0.0
42,29,1.3,0.458257569496,2,4.0,0.0
43,30,1.0,0.0,1,2.0,0.0
44,31,0.0,0.0,0,1.0,0.0
45,32,6.4,1.62480768093,10,26.4,4.24735211632
46,28,4.0,0.0,4,13.0,0.0
47,31,1.5,0.5,2,4.0,0.0
48,31,1.4,0.489897948557,2,6.4,0.489897948557
49,34,1.1,0.3,2,5.1,0.3
50,33,1.0,0.0,1,4.0,0.0
51,29,10.0,1.73205080757,13,25.8,2.95972971739
52,31,6.1,0.3,7,9.7,1.41774468788
53,30,0.0,0.0,0,1.0,0.0
54,30,4.4,0.489897948557,5,22.1,1.44568322948
55,32,2.0,0.0,2,4.0,0.0
56,32,9.7,3.46554469023,14,28.0,3.46410161514
57,31,4.8,0.4,5,11.2,0.4
58,33,12.1,1.7,14,20.3,1.67630546142
59,32,4.4,0.489897948557,5,11.2,1.66132477258
60,36,5.8,0.4,6,11.1,0.3
61,33,3.7,0.9,4,7.8,0.6
62,31,0.0,0.0,0,2.0,0.0
63,33,3.7,0.458257569496,4,8.6,0.916515138991
64,31,1.7,0.458257569496,2,8.0,0.0
65,33,4.0,2.19089023002,10,12.3,6.60378679244
66,30,2.0,0.0,2,8.5,0.5
67,28,3.0,0.0,3,8.0,0.0
68,32,3.8,0.6,5,12.5,2.15638586528
69,33,2.2,0.4,3,13.0,0.0
70,30,0.0,0.0,0,1.0,0.0
71,31,2.0,0.0,2,12.0,0.0
72,32,0.0,0.0,0,2.0,0.0
73,34,0.0,0.0,0,1.0,0.0
74,30,2.0,0.0,2,6.0,0.0
75,32,0.0,0.0,0,1.0,0.0
76,32,1.1,0.3,2,6.2,0.6
77,31,1.4,0.489897948557,2,9.4,0.489897948557
78,29,1.0,0.0,1,8.0,0.0
79,32,2.5,0.5,3,8.0,1.0
80,31,7.0,0.894427191,8,18.0,1.788854382
81,30,6.1,0.830662386292,7,16.9,2.11896201004
82,30,3.3,0.458257569496,4,14.5,0.67082039325
83,35,0.0,0.0,0,1.0,0.0
84,33,4.5,4.5,18,15.0,3.0
85,30,1.5,0.67082039325,3,4.8,0.748331477355
86,32,2.0,0.0,2,19.0,0.0
87,31,0.0,0.0,0,1.0,0.0
88,30,2.8,2.95972971739,10,8.4,1.95959179423
